geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Birmingham,driving,NA,Alabama,United States,2021-02-19,135.76
city,Birmingham,driving,NA,Alabama,United States,2021-02-20,129.82
city,Birmingham,driving,NA,Alabama,United States,2021-02-21,92.39
city,Birmingham,driving,NA,Alabama,United States,2021-02-22,105.23
city,Birmingham,driving,NA,Alabama,United States,2021-02-23,112.4
city,Birmingham,driving,NA,Alabama,United States,2021-02-24,115.66
city,Birmingham,driving,NA,Alabama,United States,2021-02-25,119.8
city,Birmingham,driving,NA,Alabama,United States,2021-02-26,134.77
city,Birmingham,driving,NA,Alabama,United States,2021-02-27,137.29
city,Birmingham,driving,NA,Alabama,United States,2021-02-28,96.39
city,Birmingham,driving,NA,Alabama,United States,2021-03-01,106.18
city,Birmingham,driving,NA,Alabama,United States,2021-03-02,107.73
city,Birmingham,driving,NA,Alabama,United States,2021-03-03,118.17
city,Birmingham,driving,NA,Alabama,United States,2021-03-04,126.12
